title,total_sales,critic_score
Cabela's Big Game Hunter 2010,1.7,5.5
Cabela's Dangerous Hunts 2,0.03,6.5
Call of Duty,0.01,7.0
Call of Duty 2,2.12,7.9
Call of Duty 2: Big Red One,3.0,8.0
Call of Duty 3,7.5200000000000005,7.675
Call of Duty 4: Modern Warfare,18.33,8.925
Call of Duty Black Ops: Declassified,1.71,3.2
Call of Duty: Advanced Warfare,21.78,8.72
Call of Duty: Black Ops,30.990000000000002,8.1
Call of Duty: Black Ops 3,15.09,8.1
Call of Duty: Black Ops II,28.080000000000002,8.333333333333334
Call of Duty: Finest Hour,0.4,7.7
Call of Duty: Ghosts,28.8,7.833333333333333
Call of Duty: Infinite Warfare,8.48,7.9
Call of Duty: Modern Warfare 2,25.02,9.333333333333334
Call of Duty: Modern Warfare 3,30.71,7.5
Call of Duty: Modern Warfare Remastered,0.82,8.05
Call of Duty: Modern Warfare: Mobilized,0.41,7.6
Call of Duty: Modern Warfare: Reflex Edition,1.51,7.2
Call of Duty: Roads to Victory,2.14,6.1
Call of Duty: WWII,13.4,8.1
Call of Duty: World at War,15.94,8.2
Call of Duty: World at War Final Fronts,1.72,6.8
Call of Juarez,0.19,6.800000000000001
Call of Juarez: Bound in Blood,1.48,7.65
Call of Juarez: The Cartel,0.6799999999999999,5.033333333333334
Calling,0.11,4.8
Capcom Classics Collection Reloaded,0.33,7.1
Capcom Classics Collection Remixed,0.3,7.7
Capcom Classics Mini Mix,0.0,6.5
Capcom Puzzle World,0.01,7.4
Capcom vs. SNK,0.22,8.8
Capcom vs. SNK 2: Mark of the Millennium 2001,0.75,7.9
Capcom vs. SNK: Millennium Fight 2000 Pro,0.05,6.9
Captain America: Super Soldier,0.51,5.775
Captain Rainbow,0.01,7.0
Captain Toad: Treasure Tracker,0.19,8.5
Car Battler Joe,0.02,7.9
Cardinal Syn,0.15,5.2
Carmageddon 64,0.01,1.3
Carnage Heart,0.11,7.1
Carnival Games,4.06,4.2
Carol Vorderman's Sudoku,0.36000000000000004,7.4
Cars,3.52,6.625
Cars 2,3.15,7.375
Cart World Series,0.3,7.0
Cartoon Network Block Party,0.05,4.0
Cartoon Network: Battle Crashers,0.12,2.5
Cartoon Network: Punch Time Explosion,0.1,5.6
Casper,0.83,4.9
Castle of Shikigami III,0.04,7.2
Castlevania,0.64,7.6
Castlevania Chronicles,0.13,7.2
Castlevania Double Pack,0.1,9.0
Castlevania Judgment,0.16,4.6
Castlevania: Aria of Sorrow,0.28,8.8
Castlevania: Curse of Darkness,0.54,7.2
Castlevania: Dawn of Sorrow,0.43,8.9
Castlevania: Harmony of Dissonance,0.26,8.6
Castlevania: Lament of Innocence,0.94,8.1
Castlevania: Lords of Shadow,1.77,8.0
Castlevania: Lords of Shadow - Mirror of Fate,0.16,7.2
Castlevania: Lords of Shadow - Reverie,0.03,7.0
Castlevania: Order of Ecclesia,0.37,8.2
Castlevania: Portrait of Ruin,0.4,8.5
Castlevania: Symphony of the Night,1.27,9.3
Castlevania: The Dracula X Chronicles,0.42,8.0
Castrol Honda Superbike Racing,0.13,3.9
Catherine,1.02,7.9
Catwoman,0.34,5.175
Cave Story 3D,0.15,8.2
Cel Damage,0.18,5.85
Centipede,0.65,5.9
Centipede / Breakout / Warlords,0.07,5.6
Ceville,0.02,9.0
Champions of Norrath,1.28,8.5
Champions: Return to Arms,0.65,7.7
Championship Bass,0.32,7.1
Championship Manager 2006,0.0,7.8
Championship Motocross 2001 featuring Ricky Carmichael,0.14,6.8
Championship Motocross featuring Ricky Carmichael,0.58,7.5
Championship Surfer,0.06,7.2
Chaos Legion,0.3,6.2
Chaos Wars,0.04,6.8
Chaotic: Shadow Warriors,0.16,6.2
Charlie Blasts Territory,0.03,5.9
Charlie and the Chocolate Factory,0.18,3.9
Charlie's Angels,0.02,2.5
Chessmaster,0.04,7.5
Chessmaster II,0.15,7.5
Chibi-Robo! Plug into Adventure!,0.39,7.4
Chibi-Robo! Zip Lash,0.32,5.5
Chicken Hunter,0.02,3.5
Chicken Run,0.13,6.3
Chicken Shoot,0.35,3.0
Child of Eden,0.66,8.0
Children of Mana,0.48,7.0
Chocobo Racing,0.44,5.4
Chocobo's Dungeon 2,0.7,6.2
ChuChu Rocket!,0.09,8.1
Circuit Breakers,0.07,5.9
Cities XL 2012,0.06,6.0
Civilization II,0.28,8.2
Clash of the Titans: The Videogame,0.16,3.8
Class of Heroes,0.14,5.4
Classic NES Series: Bomberman,0.11,5.4
Classic NES Series: Castlevania,0.33,7.4
Classic NES Series: Donkey Kong,0.17,6.5
Classic NES Series: Dr. Mario,0.13,6.1
Classic NES Series: Excitebike,0.1,6.4
Classic NES Series: Ice Climber,0.2,6.1
Classic NES Series: Metroid,0.07,5.2
Classic NES Series: Pac-Man,0.46,5.7
Classic NES Series: The Legend of Zelda,0.24,8.4
Classic NES Series: Xevious,0.12,6.4
Classic NES Series: Zelda II: The Adventure of Link,0.7,6.6
ClayFighter 63 1/3,0.21,3.1
Clive Barker's Jericho,0.53,6.0
Clock Tower,0.53,6.1
Clock Tower 3,0.33,7.0
Clock Tower II: The Struggle Within,0.17,4.4
Cloudy With A Chance of Meatballs,0.11,6.7
Cloudy With a Chance of Meatballs,0.27,6.466666666666666
Club Penguin: Elite Penguin Force,3.14,7.0
Code Name: S.T.E.A.M.,0.22,8.0
Code of  Princess EX,0.03,7.2
Code of Princess,0.2,7.2
Coded Arms,0.75,6.1
Codename Tenka,0.09,7.0
Colin McRae Rally,2.87,7.9
Colin McRae Rally 2.0,0.93,8.4
College Hoops 2K6,0.47,7.7
College Hoops 2K7,0.39,8.05
Colony Wars,0.42,8.8
Colony Wars III: Red Sun,0.12,8.1
Colony Wars: Vengeance,0.23,8.6
Combat of Giants: Dinosaurs 3D,0.39,4.3
Command & Conquer,0.4,8.4
Command & Conquer 3: Kane's Wrath,0.24,7.0
Command & Conquer 3: Tiberium Wars,0.42,7.6
Command & Conquer 4: Tiberian Twilight,0.01,6.6
Command & Conquer: Generals,0.01,8.6
Command & Conquer: Red Alert,0.41,7.8
Command & Conquer: Red Alert 2,1.34,8.9
Command & Conquer: Red Alert 3,1.11,7.8
Command & Conquer: Red Alert 3 Ultimate Edition,0.35,7.4
Company of Heroes,0.04,9.4
Conan,0.19,7.1
Condemned 2: Bloodshot,1.02,8.3
Conduit 2,0.12,6.3
Conflict: Denied Ops,0.38,5.25
Conflict: Desert Storm,0.08,6.3
Conflict: Desert Storm II - Back to Bagdhad,0.04,6.9
Conker's Bad Fur Day,0.77,9.2
Conker: Live And Reloaded,0.71,8.1
Contra 4,0.3,8.1
Contra Advance: The Alien Wars EX,0.11,6.7
Contra: Legacy of War,0.67,6.5
Contra: Shattered Soldier,0.58,7.3
Cooking Mama,5.66,6.6
Cooking Mama 2: Dinner With Friends,3.58,6.9
