title,total_sales,critic_score
Resident Evil - Code: Veronica X,0.06,5.6
Resident Evil 2,0.6200000000000001,7.45
Resident Evil 3: Nemesis,0.08,6.5
Resident Evil 5,8.629999999999999,8.6
Resident Evil 5: Gold Edition,0.0,9.2
Resident Evil Archives: Resident Evil,0.3,7.6
Resident Evil Archives: Resident Evil Zero,0.24,5.8
Resident Evil Outbreak File #2,0.57,5.8
Resident Evil: Dead Aim,0.35,6.7
Resident Evil: Deadly Silence,0.26,6.7
Resident Evil: Revelations,2.31,7.5
Resident Evil: The Darkside Chronicles,1.05,7.2
Resident Evil: The Mercenaries 3D,0.49,6.3
Resistance: Burning Skies,0.44,4.8
Resistance: Retribution,0.9,8.0
Resonance of Fate,1.07,7.45
Retro Game Challenge,0.11,8.1
Return to PopoloCrois: A Story of Seasons Fairytale,0.22,7.0
Rez,0.05,9.0
Rhapsody: A Musical Adventure,0.09,6.7
Rhythm Thief & the Emperor's Treasure,0.28,7.5
RiME,0.26,5.8
Ride 3,0.07,7.3
Ridge Racer,0.79,9.0
Ridge Racer 2,0.1,7.5
Ridge Racer 6,0.2,7.9
Ridge Racer DS,0.15,6.3
Ring of Red,0.11,8.0
Rise of Nations: Rise of Legends,0.03,8.3
Rise of the Argonauts,0.37,5.166666666666667
Risen,0.33,6.85
Risen 2: Dark Waters,0.37,5.5
Risen 3: Titan Lords Enhanced Edition,0.07,1.0
Riviera: The Promised Land,0.1,8.7
RoadKill,0.03,7.7
Roadsters,0.03,4.5
Roadsters 99,0.2,6.4
Robert Ludlum's The Bourne Conspiracy,0.39,7.6
Robotech: Battlecry,0.16,7.2
Robots,0.14,4.5
Rock Band,7.28,8.625
Rock Band 2,5.3100000000000005,8.75
Rock Band 3,2.18,9.075
Rock Band Unplugged,0.5,8.0
Rock Revolution,0.29,3.6
Rock of the Dead,0.05,5.0
Rocket League,3.92,8.774999999999999
Rocket: Robot on Wheels,0.12,8.3
Rocksmith,2.26,8.0
Rocksmith 2014,3.17,8.875
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,4.21,9.75
Rockstar Games presents Table Tennis,2.01,7.449999999999999
Rocky,0.09,7.0
Rodea the Sky Soldier,0.14,7.0
Rogue Galaxy,0.84,8.3
Rogue Ops,0.05,6.1
Rogue Trooper: Quartz Zone Massacre,0.07,8.0
Rogue Warrior,0.24,2.75
RollerCoaster Tycoon,0.17,7.1
RollerCoaster Tycoon 2,1.25,7.3
Rome: Total War,0.11,9.0
Rooms: The Main Building,0.06,7.0
Ruff Trigger: The Vanocore Conspiracy,0.02,5.9
Rugby 2004,0.22,5.0
Rugby World Cup 2011,0.6000000000000001,4.65
Rule of Rose,0.02,5.9
Rumble Roses XX,0.13,6.5
Rune Factory 2: A Fantasy Harvest Moon,0.52,7.9
Rune Factory 3: A Fantasy Harvest Moon,0.41,8.0
Rune Factory: A Fantasy Harvest Moon,0.53,8.1
Rune Factory: Frontier,0.37,7.9
Rune Factory: Tides of Destiny,0.23,6.5
Runner3,0.02,7.5
République,0.02,6.5
S.T.A.L.K.E.R.: Call of Pripyat,0.06,8.0
S.T.A.L.K.E.R.: Clear Sky,0.03,7.0
SAW,0.64,6.1
SNK Arcade Classics Vol. 1,0.15,6.7
SOCOM 4: U.S. Navy SEALs,0.9,7.0
SOCOM: Tactical Strike,0.36,7.1
SOCOM: U.S. Navy SEALs,3.65,8.0
SOCOM: U.S. Navy SEALs Confrontation,1.26,6.3
SOCOM: U.S. Navy SEALs Fireteam Bravo,1.12,7.9
SOCOM: U.S. Navy SEALs Fireteam Bravo 2,1.05,8.2
SOCOM: U.S. Navy SEALs Fireteam Bravo 3,0.45,7.5
SSX 3,0.38,9.5
SSX Tricky,2.27,8.8
SSX on Tour,0.23,8.2
STORM: Frontline Nation,0.01,7.0
SaGa Frontier 2,0.94,7.4
Sacred 2: Fallen Angel,1.15,7.05
Saints Row 2,4.79,7.466666666666666
Saints Row: The Third,5.63,8.3
Sakura Wars,0.11,7.6
"Sakura Wars: So Long, My Love",0.39999999999999997,8.100000000000001
Sam & Max Hit the Road,0.0,9.0
Sam & Max: Season One,0.15,7.1
Samba De Amigo,0.89,6.7
Samurai Shodown Sen,0.08,4.8
Samurai Warriors 2,0.69,5.5
Samurai Warriors 3,0.44,5.1
Samurai Warriors: State of War,0.19,6.5
Sands of Destruction,0.23,6.5
Saw II: Flesh & Blood,0.33999999999999997,4.550000000000001
Scaler,0.04,7.3
Scarface: Money. Power. Respect.,0.16,6.4
Scene It? Box Office Smash,0.65,7.6
Scene It? Bright Lights! Big Screen!,0.14,6.2
School Tycoon,0.0,6.9
Scooby-Doo! and the Spooky Swamp,0.45,7.6
Scribblenauts: Unlimited,0.38,7.0
Sea of Thieves,0.96,6.9
Seaman,0.52,8.1
Second Sight,0.26,7.65
Secret Agent Clank,0.74,7.0
Secret Agent Clank(US sales),0.55,7.2
Section 8,0.27,7.1
Seek and Destroy,1.06,5.6
Sega 3D Classics Collection,0.05,7.0
Sega GT,0.13,7.8
Sega Genesis Collection,1.45,8.3
Sega Rally Championship 2,0.41,8.5
Sega Superstars Tennis,5.470000000000001,6.76
Sengoku Basara: Samurai Heroes,0.9299999999999999,6.05
Sesame Street: Once Upon A Monster,0.52,8.0
Shadow Hearts,0.28,7.0
Shadow Hearts: Covenant,0.24,8.1
Shadow Hearts: From The New World,0.14,7.6
Shadow The Hedgehog,1.17,4.95
Shadow Tower,0.1,5.7
Shadow of Destiny,0.11,6.8
Shadow of the Colossus,2.34,9.2
Shadowgate 64: Trials of the Four Towers,0.07,5.4
Shadowrun (2007),0.47,6.3
Shadows of the Damned,0.46,7.75
Shantae and the Pirate's Curse,0.1,7.7
Shaun White Skateboarding,0.36,6.35
Shaun White Snowboarding,2.35,6.18
Shaun White Snowboarding: Road Trip,1.66,7.8
Shaun White Snowboarding: World Stage,0.3,7.2
ShellShock 2: Blood Trails,0.09,3.2
Shenmue II,0.47,8.3
Sherlock Holmes: The Awakened,0.0,6.0
Shin Megami Tensei IV: Apocalypse,0.37,8.1
Shin Megami Tensei: Devil Summoner - Raidou Kuzunoha vs the Soulless Army,0.09,7.4
Shin Megami Tensei: Devil Survivor 2 Record Breaker,0.13,8.4
Shin Megami Tensei: Devil Survivor Overclocked,0.44,7.6
Shin Megami Tensei: Digital Devil Saga,0.13,7.6
Shin Megami Tensei: Digital Devil Saga 2,0.08,8.1
Shin Megami Tensei: Persona 2: Innocent Sin,0.32,7.0
Shin Megami Tensei: Persona 3,0.45,8.7
Shin Megami Tensei: Persona 3 FES,0.63,8.7
Shining Force II,0.19,9.0
Shining Force: Resurrection of the Dark Dragon,0.08,7.8
Shinobi,0.23,7.0
Shiren the Wanderer,0.19,7.4
Shogun: Total War,0.01,8.8
Shonen Jump's One Piece: Pirates Carnival,0.08,4.6
Shrek 2,3.43,6.275
Shrek Extra Large,0.17,3.0
Shrek Super Party,0.05,4.9
Sid Meier's Civilization II,0.0,9.1
Sid Meier's Civilization III,0.0,8.6
Sid Meier's Civilization Revolution,2.06,8.333333333333334
Sid Meier's Civilization VI,0.25,9.4
Sid Meier's Pirates!,0.36,7.5
Silent Hill: Homecoming,0.8400000000000001,7.5
Silent Hill: Origins,0.52,7.8
Silent Hill: Shattered Memories,1.3699999999999999,7.7
Sim Theme Park,2.71,8.3
SimAnimals Africa,0.12,5.5
SimCity 2000,2.14,8.0
SimCity 3000 Unlimited,0.01,6.9
SimCity 4,0.28,8.7
Sin and Punishment: Star Successor,0.43,8.4
Sine Mora EX,0.04,8.0
Sing Party,0.3,6.8
SingStar,1.86,8.0
SingStar Queen,0.44,6.8
Singularity,0.61,7.666666666666667
Siren: Blood Curse,0.28,8.3
Skate 2,1.9300000000000002,8.2
Skate 3,2.71,8.3
Skate it,0.58,6.6
Skies of Arcadia,0.09,9.2
Skies of Arcadia Legends,0.22,8.6
Skylanders Imaginators,0.23,6.9
Skylanders SWAP Force,0.27,7.7
Skylanders: Spyro's Adventure,3.73,8.0
Skylanders: SuperChargers,0.59,8.0
Sleeping Dogs,1.9100000000000001,8.0
Sleeping Dogs: Definitive Edition,0.2,7.5
Smarty Pants,1.43,6.5
Smashing Drive,0.07,4.7
Sniper Elite,0.02,7.4
Sniper Elite V2,1.8399999999999999,7.133333333333333
Sniper: Ghost Warrior,1.9899999999999998,4.4
"Snipperclips Plus: Cut It Out, Together!",0.12,8.2
Snowboard Kids,0.2,8.0
Solatorobo: Red the Hunter,0.2,7.6
Sonic & SEGA All-Stars Racing,3.46,8.066666666666668
Sonic & SEGA All-Stars Racing with Banjo-Kazooie,0.77,7.7
Sonic & Sega All-Stars Racing Transformed,0.53,6.9
Sonic Adventure,2.42,8.9
Sonic Adventure 2,0.12,8.9
Sonic Boom: Fire & Ice,0.25,6.9
Sonic Boom: Rise of Lyric,0.31,3.7
Sonic Boom: Shattered Crystal,0.29,3.8
Sonic Chronicles: The Dark Brotherhood,0.88,7.3
Sonic Classic Collection,1.86,7.5
Sonic Forces,0.74,5.4
Sonic Free Riders,1.1,4.9
Sonic Gems Collection,0.42,6.9
Sonic Generations,4.15,7.4
Sonic Lost World,0.85,5.6
Sonic Mania,0.47,8.8
Sonic Riders: Zero Gravity,0.91,5.8
Sonic Rivals,1.44,7.0
Sonic Rivals 2,1.52,6.4
Sonic Unleashed,2.74,5.966666666666666
Sonic's Ultimate Genesis Collection,3.84,8.1
Soul Blade,1.59,8.6
Soul Bubbles,0.08,7.0
Soul Calibur IV,0.01,8.4
SoulCalibur II,1.5,9.2
SoulCalibur II(JP sales),0.03,9.3
SoulCalibur Legends,0.18,4.8
SoulCalibur: Broken Destiny,0.51,8.0
South Park,1.8499999999999999,3.85
South Park Rally,0.36,3.9
South Park: Chef's Luv Shack,0.55,4.25
South Park: The Fractured But Whole,0.14,9.5
Space Invaders Extreme,0.24,8.25
Space Invaders Extreme 2,0.19,8.1
Space Raiders,0.01,2.9
Space Siege,0.0,4.0
Space Station Silicon Valley,0.15,8.3
Spartan: Total Warrior,0.42000000000000004,7.1000000000000005
Spawn the Eternal,0.24,1.9
Spectral Force 3,0.09,5.9
Spectrobes,0.75,6.2
Spectrobes: Beyond the Portals,0.52,7.3
Spectrobes: Origins,0.19,7.4
Speed Kings,0.02,6.7
SpellForce 2: Shadow Wars,0.0,8.2
Spelling Challenges and more!,0.25,4.5
Sphinx and the Cursed Mummy,0.14,8.4
Spider-Man 2,7.63,7.133333333333333
Spider-Man 3,3.41,5.8999999999999995
Spider-Man: Edge of Time,0.37,5.65
Spider-Man: Friend or Foe,1.46,5.466666666666666
Spider-Man: Shattered Dimensions,0.6,7.85
Spider-Man: The Movie,8.4,7.85
Spider-Man: Web of Shadows,1.24,6.6000000000000005
Spider-Man: Web of Shadows - Amazing Allies Edition,0.16,7.7
Spirit Camera: The Cursed Memoir,0.25,5.7
Split/Second,0.6,8.4
SpongeBob SquarePants: Battle for Bikini Bottom,3.19,6.6000000000000005
SpongeBob SquarePants: The Yellow Avenger,0.92,5.7
SpongeBob SquigglePants,0.41,5.4
SpongeBob SquigglePants 3D,0.19,6.1
Spore,1.16,7.0
Spore Creatures,1.07,7.2
Spore Hero,0.4,5.8
Spore Hero Arena,0.19,4.9
Sports Champions,3.88,7.6
Spot Goes to Hollywood,0.07,4.4
Spy Games: Elevator Mission,0.06,2.0
Spy Hunter,0.2,7.9
Spyborgs,0.11,6.3
Spyro: A Hero's Tail,0.29,6.4
Spyro: Enter the Dragonfly,0.71,5.0
Star Fox Command,0.53,7.2
Star Fox: Assault,1.08,6.6
Star Fox: Zero,0.44,6.7
Star Ocean: First Departure,0.65,7.5
Star Ocean: Second Evolution,0.34,8.0
Star Ocean: The Last Hope International,0.73,8.1
Star Trek Bridge Crew,0.28,6.8
Star Trek Online,0.02,5.9
Star Trek: Conquest,0.11,6.3
Star Trek: Legacy,0.19999999999999998,5.85
Star Trek: The Game,0.21,5.2
Star Wars Battlefront,3.61,8.1
Star Wars Battlefront (2015),12.67,7.166666666666667
Star Wars Battlefront II,4.81,7.7
Star Wars Battlefront: Elite Squadron,1.26,5.95
Star Wars Battlefront: Renegade Squadron,1.68,7.5
Star Wars Episode I: Battle for Naboo,0.26,8.5
Star Wars Episode III: Revenge of the Sith,0.31,7.3
Star Wars Jedi Knight II: Jedi Outcast,0.23,8.05
Star Wars Racer Revenge,0.31,7.8
Star Wars Rogue Leader: Rogue Squadron II,1.9,9.2
Star Wars Rogue Squadron III: Rebel Strike,0.8,8.3
Star Wars The Clone Wars: Republic Heroes,1.2000000000000002,5.35
Star Wars: Clone Wars,0.4,7.3
Star Wars: Knights of the Old Republic,2.19,9.4
Star Wars: Lethal Alliance,0.13,6.3
Star Wars: Masters of Teras Kasi,0.68,6.8
Star Wars: The Force Unleashed,7.94,6.949999999999999
Star Wars: The Force Unleashed II,3.98,6.0600000000000005
StarCraft II: Legacy of the Void,0.57,8.8
Starcraft 64,0.16,8.0
Stardew Valley,0.13,8.8
Starlink: Battle for Atlas,0.57,7.5
Starshot: Space Circus Fever,0.03,5.2
Starsky & Hutch,1.26,6.0
Start the Party!,0.62,6.1
State of Decay 2,0.46,7.0
State of Emergency,1.76,8.0
Steambot Chronicles,0.04,7.2
Steel Battalion,0.1,7.7
Steel Diver,0.5,5.6
Stella Deus: The Gate of Eternity,0.08,7.3
Stella Glow,0.26,7.5
Still Life,0.0,6.4
Still Life 2,0.02,7.3
Stoked: Big Air Edition,0.04,8.6
Stormrise,0.15,4.4
Story of Seasons,0.44,7.7
Story of Seasons: Trio of Towns,0.49,7.9
Stranglehold,0.83,8.0
Street Cleaning Simulator,0.01,1.5
Street Fighter 30th Anniversary Collection,0.19,8.5
Street Fighter Alpha 2,1.34,8.1
Street Fighter Alpha 3 MAX,0.33,7.8
Street Fighter IV,7.2700000000000005,9.233333333333334
Stronghold 3,0.19,4.1
Stronghold Crusader Extreme,0.02,4.3
Style Savvy: Styling Star,0.45,8.5
Sudoku Ball Detective,0.06,5.0
Suikoden,0.6,8.2
Suikoden II,0.68,8.5
Suikoden III,0.98,8.6
Suikoden IV,0.66,6.3
Suikoden Tierkreis,0.27,7.7
Suikoden V,0.35,7.9
Summon Night: Twin Age,0.13,7.3
Summoner: A Goddess Reborn,0.05,8.0
Sunset Overdrive,1.16,8.0
Super Bomberman R,0.87,6.3
Super Bubble Pop,0.05,4.2
Super Lucky's Tale,0.22,6.5
Super Monkey Ball,1.46,9.0
Super Monkey Ball 3D,0.5,5.7
Super Monkey Ball: Step & Roll,0.39,6.0
Super Scribblenauts,1.47,7.9
Super Street Fighter IV: Arcade Edition,0.08,8.5
Superman Returns,0.33,4.4
Supremacy MMA,0.21000000000000002,5.0
Supreme Commander,0.13,7.199999999999999
Supreme Commander 2,0.34,8.2
Supreme Commander: Forged Alliance,0.04,8.1
Surf's Up,0.1,6.2
Sushi Striker: The Way of Sushido,0.07,7.9
Syberia,0.03,8.0
Syberia II,0.02,7.5
Syphon Filter: Dark Mirror,0.3,8.5
Syphon Filter: Logan's Shadow,0.46,8.4
System Shock 2,0.0,8.9
TMNT,0.11,3.6
TMNT: Mutant Melee,0.07,4.2
TNA iMPACT!,1.23,6.025
TNA iMPACT: Cross the Line,0.05,3.5
TRINITY: Souls of Zill O'll,0.14,5.5
TV Superstars,0.26,6.2
Tactics Ogre: Let Us Cling Together,0.54,9.0
Tactics Ogre: The Knight of Lodis,0.5,8.5
Taiko Drum Master,0.2,8.1
Tail Concerto,0.03,7.3
Tales of Destiny II,0.81,7.5
Tales of Vesperia,1.2,8.05
Tank! Tank! Tank!,0.07,4.7
Tatsunoko vs. Capcom: Ultimate All-Stars,0.54,8.3
Taz Wanted,0.31,5.666666666666667
Team Fortress 2,0.0,9.2
Teen Titans,0.5800000000000001,6.449999999999999
Teenage Mutant Ninja Turtles,4.17,5.9
Teenage Mutant Ninja Turtles 2: Battle Nexus,0.19,5.0
Teenage Mutant Ninja Turtles: Arcade Attack,0.13,4.3
Teenage Mutant Ninja Turtles: Smash-Up,0.5599999999999999,7.2
Tekken 2,5.74,9.1
Tekken 3D: Prime Edition,0.21,6.5
Tekken 4,3.44,7.9
Tekken Advance,0.45,8.3
Tekken Hybrid,0.36,4.0
Tekken Tag Tournament,4.05,8.7
Tekken Tag Tournament 2,0.19,8.1
Tenchu 2: Birth of the Stealth Assassins,0.58,8.5
Tenchu Z,0.34,5.7
Tenchu: Shadow Assassins,0.32999999999999996,7.25
Tenchu: Stealth Assassins,1.99,8.8
Tenkai Knights: Brave Battle,0.02,4.5
Terminator 3: The Redemption,0.02,6.8
Terminator Salvation,0.88,5.1
Teslagrad,0.0,7.0
Test Drive Unlimited,0.85,7.833333333333333
Test Drive Unlimited 2,1.5,6.8
Tetris Axis,0.44,7.8
Tetris Party Deluxe,0.56,7.3
Tetris Worlds,0.22,4.6
The 3rd Birthday,0.52,7.0
The Adventures of Jimmy Neutron Boy Genius vs. Jimmy Negatron,0.26,6.0
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,0.35,5.5
The Adventures of Tintin: The Game,0.24,5.0
The Alliance Alive,0.11,7.3
The Amazing Spider-Man (2012),1.84,6.775
The Ant Bully,0.04,5.2
The BIGS,0.11,7.6
The BIGS 2,0.39,6.55
The Beatles: Rock Band,4.140000000000001,8.866666666666667
The Bible Game,0.12,3.5
The Biggest Loser,1.07,7.7
The Biggest Loser: Ultimate Workout,0.9,8.0
The Binding of Isaac: Afterbirth+,0.28,9.0
The Book of Unwritten Tales,0.1,7.9
The Chronicles of Narnia: Prince Caspian,0.18,6.3
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",0.67,6.8
The Chronicles of Riddick: Assault on Dark Athena,0.5499999999999999,8.066666666666666
The City of Lost Children,0.01,4.9
The Club,0.27,7.5
The Con,0.21,6.8
The Crew 2,0.82,6.5
The Cursed Crusade,0.17,4.0
The Darkness,0.44,8.3
The Elder Scrolls III: Morrowind,2.86,8.45
The Elder Scrolls III: Morrowind Game of the Year Edition,1.03,8.3
The Elder Scrolls IV: Oblivion,7.84,9.233333333333333
The Elder Scrolls IV: Oblivion - Game of the Year Edition,0.0,8.5
The Elder Scrolls IV: Shivering Isles,0.18,8.9
The Elder Scrolls Online: Summerset,0.1,7.5
The Elder Scrolls V: Skyrim,20.51,9.025
The Elder Scrolls V: Skyrim Special Edition,5.1899999999999995,8.2
The Evil Within,2.55,7.800000000000001
The Eye of Judgment,0.34,7.5
The Fairly Odd Parents: Clash with the Anti-World,0.15,3.5
The Fairly Odd Parents: Shadow Showdown,0.35,5.0
The Fifth Element,0.14,3.7
The Fight: Lights Out,0.59,4.7
The First Templar,0.1,7.0
The Flintstones: Big Trouble in Bedrock,0.03,4.0
The Getaway,3.54,7.7
The Godfather II,1.53,6.300000000000001
The Godfather: Blackhand Edition,0.15,7.4
The Godfather: Mob Wars,0.1,6.2
The Golden Compass,1.12,3.8333333333333335
The Granstream Saga,0.14,7.6
The Grim Adventures Of Billy & Mandy,0.05,6.6
The Grim Adventures of Billy & Mandy,0.17,7.2
The Gunstringer,0.4,7.6
The Haunted: Hell's Reach,0.02,5.3
The Hobbit,0.36,5.75
The House of The Dead III,0.39,6.8
The House of the Dead,0.13,7.5
The House of the Dead 2,0.26,7.5
The House of the Dead 2 & 3 Return,1.45,6.5
The House of the Dead: Overkill,0.85,7.9
The House of the Dead: Overkill - Extended Cut,0.37,7.2
The ICO & Shadow of the Colossus Collection,1.34,9.0
The Incredible Hulk,0.8200000000000001,5.8
The Incredible Hulk: Ultimate Destruction,0.15,8.7
The Incredibles,5.2700000000000005,6.0
The Incredibles: Rise of the Underminer,0.63,6.5
The Invincible Iron Man,0.04,6.4
The King of Fighters '99,0.11,7.0
The King of Fighters EX2: Howling Blood,0.08,7.9
The King of Fighters XII,0.27,6.2
The King of Fighters XIII,0.3,7.8
The King of Fighters: Dream Match 1999,0.1,7.2
The King of Fighters: Evolution,0.07,7.6
The LEGO Movie Videogame,0.71,6.0
The Last Guardian,1.29,7.9
The Last Remnant,0.01,7.3
The Legend of Dragoon,1.86,7.8
The Legend of Heroes: A Tear of Vermillion,0.09,6.9
The Legend of Heroes: Trails in the Sky,0.1,8.1
The Legend of Heroes: Trails of Cold Steel III,0.13,7.0
The Legend of Legacy,0.29,6.0
The Legend of Spyro: A New Beginning,0.56,6.8
The Legend of Zelda: Four Swords Adventures,0.81,8.4
The Legend of Zelda: Oracle of Ages,1.92,9.4
The Legend of Zelda: Oracle of Seasons,1.86,9.3
The Legendary Starfy,0.85,7.1
The Lord of the Rings: Aragorn's Quest,0.23,6.4
The Lord of the Rings: Conquest,1.5,5.775
The Lord of the Rings: The Battle for Middle-Earth II,0.07,8.1
The Lord of the Rings: The Return of the King,5.67,8.325
The Lord of the Rings: The Third Age,0.29,7.9
The Lord of the Rings: The Two Towers,4.67,8.3
The Lord of the Rings: War in the North,1.91,6.533333333333334
The Lost Child,0.03,7.5
The Mark,0.0,3.0
The Matrix: Path of Neo,0.8,6.7
The Movies,0.04,8.2
The Munchables,0.18,8.0
The Next BIG Thing,0.06,6.8
The Nightmare of Druaga: Fushigino Dungeon,0.05,6.4
The Operative: No One Lives Forever,0.14,7.85
The Orange Box,3.0300000000000002,9.366666666666665
The Order: 1886,1.62,6.2
The Outfit,0.25,7.0
The Polar Express,0.11,3.3
The Powerpuff Girls: Relish Rampage,0.45,3.8
The Rub Rabbits!,0.07,7.3
The Saboteur,1.05,7.133333333333333
The Scorpion King: Rise of the Akkadian,0.11,5.2
The Settlers 7: Paths to a Kingdom,0.31,7.8
The Simpsons Game,3.0100000000000002,6.8
The Simpsons: Hit & Run,5.69,7.949999999999999
The Simpsons: Road Rage,3.8499999999999996,6.05
The Sims,0.05,8.9
The Sims 2,2.0,7.566666666666666
The Sims 2 Holiday Edition,0.0,2.0
The Sims 2: Nightlife,1.27,7.5
The Sims 2: Pets,3.1399999999999997,5.833333333333333
The Sims 3,13.74,7.540000000000001
The Sims 3: Ambitions,0.45,7.9
The Sims 3: Generations,0.63,6.5
The Sims 3: Late Night Expansion Pack,1.69,7.5
The Sims 3: Pets,0.54,7.266666666666667
The Sims 3: World Adventures,0.57,8.2
The Sims 4,4.1,7.0
The Sims Medieval: Pirates and Nobles,0.15,5.5
The Sims: Bustin' Out,0.66,7.9
The Sims: Medieval,0.7,7.2
The Sims: Unleashed,3.76,7.3
The Sky Crawlers: Innocent Aces,0.12,7.3
The Sly Collection,0.69,8.7
The SpongeBob SquarePants Movie,3.24,6.5
The Sum of All Fears,0.03,3.2
The Tomb Raider Trilogy,0.89,8.5
The Typing of the Dead,0.05,8.6
The Urbz: Sims in the City,0.4,7.6
The Walking Dead: A Telltale Games Series,0.82,9.7
The Warriors,0.28,8.1
The Witcher 2: Assassins of Kings,0.98,8.8
The Witcher: Enhanced Edition,0.33,8.3
The Wizard of Oz: Beyond The Yellow Brick Road,0.15,6.4
The Wonderful 101,0.36,8.0
The World Ends with You: Final Remix,0.27,7.4
Theme Hospital,2.4899999999999998,6.35
Theme Park Roller Coaster,0.48,7.9
Thor: God of Thunder,0.67,5.26
Threads of Fate,0.21,7.8
Thrillville,0.2,7.4
Thrillville: Off the Rails,0.0,8.1
Tiger Woods PGA Tour,0.21,8.0
Tiger Woods PGA Tour 06,0.51,7.45
Tiger Woods PGA Tour 07,2.63,7.785714285714286
Tiger Woods PGA Tour 08,1.4,7.45
Tiger Woods PGA Tour 09,1.01,6.85
Tiger Woods PGA Tour 10,2.74,8.45
Tiger Woods PGA Tour 11,1.8900000000000001,8.1
Tigger's Honey Hunt,0.2,7.3
Time Crisis,1.68,8.5
Time Crisis 4,0.83,6.1
Time Crisis: Razing Storm,0.54,5.8
TimeShift,0.41,7.0
TimeSplitters 2,0.7,9.1
TimeSplitters: Future Perfect,0.08,8.4
Titan Quest: Immortal Throne,0.0,8.3
Titanfall 2,1.72,8.9
Tobal No.1,0.92,7.7
Tokyo Mirage Sessions #FE,0.33,8.0
Tom Clancy's EndWar,1.02,7.35
Tom Clancy's Ghost Recon 2,0.07,5.7
Tom Clancy's Ghost Recon Advanced Warfighter 2,0.53,6.5
Tom Clancy's Ghost Recon Wildlands,4.7700000000000005,7.366666666666667
Tom Clancy's Ghost Recon: Shadow Wars,0.34,7.9
Tom Clancy's HAWX,1.1400000000000001,7.2
Tom Clancy's Rainbow Six 3,0.06,6.5
Tom Clancy's Rainbow Six: Vegas,2.7,7.300000000000001
Tom Clancy's Rainbow Six: Vegas 2,3.76,8.2
Tom Clancy's Splinter Cell,3.02,9.3
Tom Clancy's Splinter Cell 3D,0.3,8.0
Tom Clancy's Splinter Cell Trilogy,0.11,6.5
Tom Clancy's Splinter Cell: Blacklist,2.32,8.7
Tom Clancy's Splinter Cell: Chaos Theory,1.2100000000000002,8.6
Tom Clancy's Splinter Cell: Conviction,2.16,8.3
Tom Clancy's Splinter Cell: Double Agent,1.1,7.466666666666666
Tom Clancy's Splinter Cell: Essentials,0.2,5.6
Tom Clancy's Splinter Cell: Pandora Tomorrow,1.56,7.949999999999999
Tomb Raider,5.66,8.8
Tomb Raider (2013),4.41,8.7
Tomb Raider II,7.53,7.8999999999999995
Tomb Raider III: Adventures of Lara Croft,4.16,7.75
Tomb Raider: Anniversary,1.81,7.466666666666666
Tomb Raider: Legend,1.1300000000000001,7.666666666666667
Tomb Raider: Underworld,2.86,7.4
Tomba!,0.26,8.6
Tony Hawk's American Sk8land,0.44999999999999996,7.35
Tony Hawk's American Wasteland,0.74,8.3
Tony Hawk's Pro Skater,8.459999999999999,8.666666666666666
Tony Hawk's Pro Skater 2,6.619999999999999,8.925
Tony Hawk's Pro Skater 3,5.3100000000000005,8.766666666666666
Tony Hawk's Pro Skater 4,4.25,9.399999999999999
Tony Hawk's Project 8,2.55,7.3
Tony Hawk's Proving Ground,0.56,7.2
Tony Hawk's Underground,4.6,8.85
Tony Hawk's Underground 2,0.5,8.55
Tony Hawk's Underground 2 Remix,0.82,8.5
Tony Hawk: RIDE,2.16,4.3999999999999995
Too Human,0.78,6.5
Top Gear RPM Tuning,0.02,4.9
Top Spin 2,0.23,6.575
Top Spin 3,1.13,7.949999999999999
Top Spin 4,1.24,6.8
Torchlight,0.07,8.4
TouchMaster,2.0,6.9
Tour de France 2011,0.0,6.0
Toy Story 3: The Video Game,1.85,7.5
Trace Memory,0.29,6.5
TrackMania DS,0.08,7.5
TrackMania: Build to Race,0.23,7.0
Trainz,0.0,8.4
Transformers,1.29,7.8
Transformers: Cybertron Adventures,0.27,3.7
Transformers: Dark of the Moon,1.02,4.5
Transformers: Revenge of the Fallen,1.74,5.466666666666666
Transformers: The Game,1.25,4.75
Transformers: War for Cybertron,1.0899999999999999,7.5
Trapped Dead,0.02,4.0
Trauma Center: New Blood,0.29,7.5
Trauma Center: Second Opinion,0.34,8.2
Trauma Center: Under the Knife,0.36,8.0
Trauma Center: Under the Knife 2,0.11,8.2
Trauma Team,0.17,8.1
Trigger Man,0.02,2.0
Trine,0.01,8.1
Trine 2: Director's Cut,0.04,7.8
Trinity Universe,0.18,6.2
Trivial Pursuit,0.57,7.3
Tropico,0.0,8.7
Tropico 2: Pirate Cove,0.0,8.3
Tropico 3,0.26,7.9
Tropico 4,0.26,7.9
True Crime: New York City,0.17,6.4
True Crime: Streets of LA,0.56,8.1
Tube Slider,0.02,5.9
Turning Point: Fall of Liberty,0.29,4.3
Turok,0.75,6.6
Turok: Evolution,0.38,7.4
Twin Sector,0.0,4.2
Twisted Metal,1.56,7.0
Twisted Metal (2012),0.83,7.9
Twisted Metal 2,2.44,8.7
Twisted Metal 4,1.28,6.7
Twisted Metal III,1.73,4.4
Twisted Metal: Black,1.41,8.9
Twisted Metal: Head On,0.77,7.5
Two Worlds,0.02,7.4
Two Worlds II,1.01,6.5
